,contrast,homogeneity,correlation,energy,class
839,0.231004268,0.975035666,0.973893577,0.703184974,1
840,0.264387263,0.971666488,0.970108311,0.702330959,1
841,0.294032979,0.967988953,0.966775761,0.701082663,1
842,0.308174036,0.963847211,0.960079211,0.705343257,1
843,0.309638645,0.963758495,0.959753669,0.705559076,1
844,0.174559205,0.978474665,0.977305498,0.710886092,1
845,0.268983106,0.968225078,0.965111198,0.706660706,1
846,0.224438777,0.97219183,0.970948033,0.707736873,1
847,0.258932855,0.968882108,0.966444317,0.706720461,1
848,0.273427439,0.966170337,0.964556161,0.705973401,1
849,0.3504962,0.951343385,0.962456831,0.663968639,1
850,0.350294184,0.951345396,0.962208514,0.66428763,1
851,0.202260036,0.970395125,0.978265045,0.670839906,1
852,0.304032726,0.956445518,0.967384232,0.665543419,1
853,0.258225802,0.961537944,0.972326875,0.666661332,1
854,0.303224666,0.956686033,0.967494896,0.665174447,1
855,0.335799601,0.951864344,0.964002749,0.663999952,1
856,0.312567864,0.959583288,0.962598266,0.685537754,1
857,0.185501347,0.974141819,0.977833475,0.690747838,1
858,0.291204768,0.961171039,0.965315207,0.686172344,1
859,0.260953006,0.963996077,0.968918276,0.686932726,1
860,0.299032853,0.959924811,0.964331721,0.685886798,1
861,0.322769627,0.955750036,0.96153809,0.684663424,1
862,0.242519128,0.971048064,0.966563024,0.741143531,1
863,0.292517866,0.964001568,0.965374054,0.694043453,1
864,0.293123911,0.964644805,0.965039515,0.694475102,1
865,0.170966263,0.978115758,0.979690405,0.699992695,1
